TIMESTAMP: 2019-04-29_16_50_29

  Balintawak             0             1
     Kaingin             1             1
       Muñoz             2             1
 Bansalangin             2             2
       North             0             1
     Trinoma             0             1
      Quezon             0             0
         NIA             0             0
       Timog             0             2
    Kamuning             0             1
         New             0             2
       Monte             0             2
      Aurora             0             2
          Mc             0             2
          P.             0             2
        Main             0             1
    Santolan             2             1
       White             2             0
     Ortigas             2             0
          SM             2             2
        Shaw             2             2
    Reliance             2             2
     Pioneer             1             2
   Guadalupe             2             2
      Orense             1             2
    Kalayaan             1             2
     Buendia             1             2
       Ayala             1             2
      Arnaiz             2             1
  Magallanes             2             0
     Malibay             2             0
       Tramo             2             0
        Taft             2             2
        F.B.             0             1
       Roxas             2             2
   Macapagal             2             2
        Mall             1             0
